id,key,name,tags,solved,category,createdAt,updatedAt,difficulty,description,disabledEnv,mitigationUrl,tutorialOrder,hasCodingChallenge,codingChallengeStatus
1,restfulXssChallenge,API-only XSS,"Danger Zone,With Coding Challenge",0,XSS,2026-03-09 08:48:38.158 +00:00,2026-03-09 08:48:38.158 +00:00,3,"Perform a <i>persisted</i> XSS attack with <code>&lt;iframe src=""javascript:alert(`xss`)""&gt;</code> without using the frontend application at all. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>",Docker,https://cheatsheetseries.owasp.org/cheatsheets/Cross_Site_Scripting_Prevention_Cheat_Sheet.html,NULL,1,0
2,accessLogDisclosureChallenge,Access Log,With Coding Challenge,0,Sensitive Data Exposure,2026-03-09 08:48:38.158 +00:00,2026-03-09 08:48:38.158 +00:00,4,Gain access to any access log file of the server.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/Logging_Cheat_Sheet.html,NULL,1,0
3,registerAdminChallenge,Admin Registration,With Coding Challenge,0,Improper Input Validation,2026-03-09 08:48:38.158 +00:00,2026-03-09 08:48:38.158 +00:00,3,Register as a user with administrator privileges.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/Mass_Assignment_Cheat_Sheet.html,NULL,1,0
4,adminSectionChallenge,Admin Section,"Good for Demos,With Coding Challenge",0,Broken Access Control,2026-03-09 08:48:38.158 +00:00,2026-03-09 08:48:38.158 +00:00,2,Access the administration section of the store.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/Authorization_Cheat_Sheet.html,8,1,0
5,fileWriteChallenge,Arbitrary File Write,"Danger Zone,Prerequisite",0,Vulnerable Components,2026-03-09 08:48:38.158 +00:00,2026-03-09 08:48:38.158 +00:00,6,"Overwrite the <a href=""/ftp/legal.md"">Legal Information</a> file. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>",Docker,https://cheatsheetseries.owasp.org/cheatsheets/Vulnerable_Dependency_Management_Cheat_Sheet.html,NULL,0,0
6,resetPasswordBjoernOwaspChallenge,Bjoern's Favorite Pet,"OSINT,With Coding Challenge",0,Broken Authentication,2026-03-09 08:48:38.158 +00:00,2026-03-09 08:48:38.158 +00:00,3,"Reset the password of Bjoern's OWASP account via the <a href=""/#/forgot-password"">Forgot Password</a> mechanism with <i>the original answer</i> to his security question.",NULL,https://cheatsheetseries.owasp.org/cheatsheets/Choosing_and_Using_Security_Questions_Cheat_Sheet.html,NULL,1,0
7,tokenSaleChallenge,Blockchain Hype,"Contraption,Code Analysis,Web3,With Coding Challenge",0,Security through Obscurity,2026-03-09 08:48:38.158 +00:00,2026-03-09 08:48:38.158 +00:00,5,Learn about the Token Sale before its official announcement.,NULL,NULL,NULL,1,0
8,nftUnlockChallenge,NFT Takeover,"Contraption,Good for Demos,Web3,With Coding Challenge",0,Sensitive Data Exposure,2026-03-09 08:48:38.158 +00:00,2026-03-09 08:48:38.158 +00:00,2,Take over the wallet containing our official Soul Bound Token (NFT).,NULL,NULL,NULL,1,0
9,nftMintChallenge,Mint the Honey Pot,"Web3,Internet Traffic,With Coding Challenge",0,Improper Input Validation,2026-03-09 08:48:38.158 +00:00,2026-03-09 08:48:38.158 +00:00,3,Mint the Honey Pot NFT by gathering BEEs from the bee haven.,NULL,NULL,NULL,1,0
10,web3WalletChallenge,Wallet Depletion,"Web3,Internet Traffic,With Coding Challenge",0,Miscellaneous,2026-03-09 08:48:38.158 +00:00,2026-03-09 08:48:38.158 +00:00,6,Withdraw more ETH from the new wallet than you deposited.,NULL,NULL,NULL,1,0
11,web3SandboxChallenge,Web3 Sandbox,"Web3,With Coding Challenge",0,Broken Access Control,2026-03-09 08:48:38.158 +00:00,2026-03-09 08:48:38.158 +00:00,1,Find an accidentally deployed code sandbox for writing smart contracts on the fly.,NULL,NULL,NULL,1,0
12,rceChallenge,Blocked RCE DoS,Danger Zone,0,Insecure Deserialization,2026-03-09 08:48:38.158 +00:00,2026-03-09 08:48:38.158 +00:00,5,Perform a Remote Code Execution that would keep a less hardened application busy <em>forever</em>. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>,Docker,https://cheatsheetseries.owasp.org/cheatsheets/Denial_of_Service_Cheat_Sheet.html,NULL,0,0
13,captchaBypassChallenge,CAPTCHA Bypass,Brute Force,0,Broken Anti Automation,2026-03-09 08:48:38.158 +00:00,2026-03-09 08:48:38.158 +00:00,3,Submit 10 or more customer feedbacks within 20 seconds.,NULL,NULL,NULL,0,0
14,changePasswordBenderChallenge,Change Bender's Password,NULL,0,Broken Authentication,2026-03-09 08:48:38.158 +00:00,2026-03-09 08:48:38.158 +00:00,5,Change Bender's password into <i>slurmCl4ssic</i> without using SQL Injection or Forgot Password.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/Authentication_Cheat_Sheet.html,NULL,0,0
15,christmasSpecialChallenge,Christmas Special,NULL,0,Injection,2026-03-09 08:48:38.158 +00:00,2026-03-09 08:48:38.158 +00:00,4,Order the Christmas special offer of 2014.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/SQL_Injection_Prevention_Cheat_Sheet.html,NULL,0,0
16,usernameXssChallenge,CSP Bypass,Danger Zone,0,XSS,2026-03-09 08:48:38.158 +00:00,2026-03-09 08:48:38.158 +00:00,4,Bypass the Content Security Policy and perform an XSS attack with <code>&lt;script&gt;alert(`xss`)&lt;/script&gt;</code> on a legacy page within the application. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>,Docker,https://cheatsheetseries.owasp.org/cheatsheets/Cross_Site_Scripting_Prevention_Cheat_Sheet.html,NULL,0,0
17,persistedXssUserChallenge,Client-side XSS Protection,Danger Zone,0,XSS,2026-03-09 08:48:38.158 +00:00,2026-03-09 08:48:38.158 +00:00,3,"Perform a <i>persisted</i> XSS attack with <code>&lt;iframe src=""javascript:alert(`xss`)""&gt;</code> bypassing a <i>client-side</i> security mechanism. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>",Docker,https://cheatsheetseries.owasp.org/cheatsheets/Cross_Site_Scripting_Prevention_Cheat_Sheet.html,NULL,0,0
18,directoryListingChallenge,Confidential Document,"Good for Demos,With Coding Challenge",1,Sensitive Data Exposure,2026-03-09 08:48:38.158 +00:00,2026-03-09 08:51:13.163 +00:00,1,Access a confidential document.,NULL,NULL,NULL,1,0
