id,name,image,price,createdAt,deletedAt,updatedAt,deluxePrice,description
1,Apple Juice (1000ml),apple_juice.jpg,1.99,2026-03-09 08:48:38.471 +00:00,NULL,2026-03-09 08:48:38.471 +00:00,0.99,The all-time classic.
2,Orange Juice (1000ml),orange_juice.jpg,2.99,2026-03-09 08:48:38.471 +00:00,NULL,2026-03-09 08:48:38.471 +00:00,2.49,Made from oranges hand-picked by Uncle Dittmeyer.
3,Eggfruit Juice (500ml),eggfruit_juice.jpg,8.99,2026-03-09 08:48:38.471 +00:00,NULL,2026-03-09 08:48:38.471 +00:00,8.99,Now with even more exotic flavour.
4,Raspberry Juice (1000ml),raspberry_juice.jpg,4.99,2026-03-09 08:48:38.471 +00:00,NULL,2026-03-09 08:48:38.471 +00:00,4.99,"Made from blended Raspberry Pi, water and sugar."
5,Lemon Juice (500ml),lemon_juice.jpg,2.99,2026-03-09 08:48:38.471 +00:00,NULL,2026-03-09 08:48:38.471 +00:00,1.99,Sour but full of vitamins.
6,Banana Juice (1000ml),banana_juice.jpg,1.99,2026-03-09 08:48:38.471 +00:00,NULL,2026-03-09 08:48:38.471 +00:00,1.99,Monkeys love it the most.
7,OWASP Juice Shop T-Shirt,fan_shirt.jpg,22.49,2026-03-09 08:48:38.471 +00:00,NULL,2026-03-09 08:48:38.471 +00:00,22.49,Real fans wear it 24/7!
8,OWASP Juice Shop CTF Girlie-Shirt,fan_girlie.jpg,22.49,2026-03-09 08:48:38.471 +00:00,NULL,2026-03-09 08:48:38.471 +00:00,22.49,For serious Capture-the-Flag heroines only!
9,OWASP SSL Advanced Forensic Tool (O-Saft),orange_juice.jpg,0.01,2026-03-09 08:48:38.472 +00:00,NULL,2026-03-09 08:48:38.472 +00:00,0.01,"O-Saft is an easy to use tool to show information about SSL certificate and tests the SSL connection according given list of ciphers and various SSL configurations. <a href=""https://www.owasp.org/index.php/O-Saft"" target=""_blank"">More...</a>"
10,Christmas Super-Surprise-Box (2014 Edition),undefined.jpg,29.99,2026-03-09 08:48:38.472 +00:00,2026-03-09 08:48:38.484 +00:00,2026-03-09 08:48:38.472 +00:00,29.99,Contains a random selection of 10 bottles (each 500ml) of our tastiest juices and an extra fan shirt for an unbeatable price! (Seasonal special offer! Limited availability!)
11,Rippertuer Special Juice,undefined.jpg,16.99,2026-03-09 08:48:38.472 +00:00,2026-03-09 08:48:38.485 +00:00,2026-03-09 08:48:38.472 +00:00,16.99,"Contains a magical collection of the rarest fruits gathered from all around the world, like Cherymoya Annona cherimola, Jabuticaba Myrciaria cauliflora, Bael Aegle marmelos... and others, at an unbelievable price! <br />This item has been made unavailable because of lack of safety standards. (This product is unsafe! We plan to remove it from the stock!)"
12,OWASP Juice Shop Sticker (2015/2016 design),sticker.png,999.99,2026-03-09 08:48:38.472 +00:00,2026-03-09 08:48:38.486 +00:00,2026-03-09 08:48:38.472 +00:00,999.99,Die-cut sticker with the official 2015/2016 logo. By now this is a rare collectors item. <em>Out of stock!</em>
13,OWASP Juice Shop Iron-Ons (16pcs),iron-on.jpg,14.99,2026-03-09 08:48:38.472 +00:00,NULL,2026-03-09 08:48:38.472 +00:00,14.99,"Upgrade your clothes with washer safe <a href=""https://www.stickeryou.com/products/owasp-juice-shop/794"" target=""_blank"">iron-ons</a> of the OWASP Juice Shop or CTF Extension logo!"
14,OWASP Juice Shop Magnets (16pcs),magnets.jpg,15.99,2026-03-09 08:48:38.472 +00:00,NULL,2026-03-09 08:48:38.472 +00:00,15.99,"Your fridge will be even cooler with these OWASP Juice Shop or CTF Extension logo <a href=""https://www.stickeryou.com/products/owasp-juice-shop/794"" target=""_blank"">magnets</a>!"
15,OWASP Juice Shop Sticker Page,sticker_page.jpg,9.99,2026-03-09 08:48:38.472 +00:00,NULL,2026-03-09 08:48:38.472 +00:00,9.99,"Massive decoration opportunities with these OWASP Juice Shop or CTF Extension <a href=""https://www.stickeryou.com/products/owasp-juice-shop/794"" target=""_blank"">sticker pages</a>! Each page has 16 stickers on it."
16,OWASP Juice Shop Sticker Single,sticker_single.jpg,4.99,2026-03-09 08:48:38.472 +00:00,NULL,2026-03-09 08:48:38.472 +00:00,4.99,"Super high-quality vinyl <a href=""https://www.stickeryou.com/products/owasp-juice-shop/794"" target=""_blank"">sticker single</a> with the OWASP Juice Shop or CTF Extension logo! The ultimate laptop decal!"
